meanRevs4,meanRevs6,meanRevs8,participant,condLabel,ptnt4,ptnt6,ptnt8,norm4,norm6,norm8,expName,expPara,time,dom,session,nRevs,mcSz,mcSf,mcBv,mcBsf,mcPeriGap,mcPeriFade,targSz,targSf,targOri1,targOri2,targXoff1,targXoff2,targYoff,targV,targTtot,targTpeak,trialT,fixCross,"Mask
Velocity",Mask/Target
-1.125,-1.2,-1.2125,2,mcBv-9.6_tgT-1.0_tgEcc-100,-0.947,-0.964666667,-0.966625,0.841777778,0.803888889,0.797216495,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1,2,1,16,"Dynamic mask
Peripheral target"
-0.7875,-0.775,-0.7375,2,mcBv-9.6_tgT-1.0_tgEcc-28,-0.947,-0.964666667,-0.966625,1.202539683,1.244731183,1.310677966,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1,2,1,16,"Dynamic mask
Center target"
-1.225,-1.2,-1.2125,2,mcBv-9.6_tgT-1.33_tgEcc-100,-0.947,-0.964666667,-0.966625,0.773061224,0.803888889,0.797216495,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.33,2,1,16,"Dynamic mask
Peripheral target"
-0.6975,-0.798333333,-0.8425,2,mcBv-9.6_tgT-1.33_tgEcc-28,-0.947,-0.964666667,-0.966625,1.357706093,1.208350731,1.147329377,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,2,1,16,"Dynamic mask
Center target"
-1.09375,-1.129166667,-1.134375,2,mcBv-9.6_tgT-1.66_tgEcc-100,-0.947,-0.964666667,-0.966625,0.865828571,0.854317343,0.852121212,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.66,2,1,16,"Dynamic mask
Peripheral target"
-0.92875,-0.969166667,-0.933125,2,mcBv-9.6_tgT-1.66_tgEcc-28,-0.947,-0.964666667,-0.966625,1.019650067,0.995356836,1.035900871,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,2,1,16,"Dynamic mask
Center target"
-0.985,-0.99,-1.01125,9,mcBv-0.01_tgT-0.33_tgEcc-100,-1.251125,-1.249083333,-1.250875,1.270177665,1.261700337,1.236959209,mc2_tgT-mcBv2,peri,2017-02-20_1107,1,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.33,2,1,0,"Static mask
Peripheral target"
-1.16625,-1.194166667,-1.189375,9,mcBv-0.01_tgT-0.33_tgEcc-28,-1.251125,-1.249083333,-1.250875,1.072775991,1.045987439,1.05170783,mc2_tgT-mcBv2,cent,2017-02-20_1039,1,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,2,1,0,"Static mask
Center target"
-1.13,-1.07,-1.09,9,mcBv-0.01_tgT-0.66_tgEcc-100,-1.251125,-1.249083333,-1.250875,1.107190265,1.167367601,1.147591743,mc2_tgT-mcBv2,peri,2017-02-20_1107,1,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.66,2,1,0,"Static mask
Peripheral target"
-1.155,-1.136666667,-1.12125,9,mcBv-0.01_tgT-0.66_tgEcc-28,-1.251125,-1.249083333,-1.250875,1.083225108,1.098900293,1.115607581,mc2_tgT-mcBv2,cent,2017-02-20_1039,1,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,2,1,0,"Static mask
Center target"
